id,nom,prenom,cin,adresse
1,El Khattabi,Yasmine,AB12345,"Rue des Iris, Casablanca"
2,Bensouda,Mohamed,CD67890,"Avenue Moulay Ismail, Rabat"
3,Chraibi,Houda,EF54321,"Boulevard Mohamed V, Marrakech"
4,Lamrani,Karim,GH98765,"Rue Ahmed Chaouki, Fes"
5,Moussaoui,Sara,IJ24680,"Avenue Hassan II, Tanger"
6,El Manouni,Ahmed,KL13579,"Rue Mohammed VI, Agadir"
7,Saidi,Laila,MN46803,"Avenue Prince Moulay Abdellah, Oujda"
8,El Badaoui,Nadia,OP97623,"Boulevard Abdelkrim El Khattabi, Meknes"
9,Bouazzaoui,Younes,QR32145,"Rue Yacoub El Mansour, Mohammedia"
10,Hassani,Leila,ST76532,"Avenue des FAR, Kenitra"
11,Benjelloun,Hicham,UV90876,"Boulevard Mohammed V, Tetouan"
12,El Fassi,Najat,WX54367,"Rue Ibn Khaldoun, El Jadida"
13,Tazi,Amina,YZ12456,"Avenue Oued Fes, Safi"
14,Kadiri,Mehdi,AB67901,"Rue de la Victoire, Laayoune"
15,Merini,Fatima,CD08572,"Avenue Al Massira, Taroudant"
16,Lahlou,Amine,EF43210,"Boulevard Al Qods, Nador"
17,Ouazzani,Loubna,GH76509,"Rue Al Farah, Ksar El Kebir"
18,Missouri,Brahim,IJ12345,"Avenue Kadi Ayyad, Tiznit"
19,Moumeni,Imane,KL65432,"Rue Mohammed El Baqali, Ifrane"
20,Laroui,Adil,MN89061,"Avenue Abdelatif El Badri, Errachidia"
21,Sebbar,Rachida,OP34567,"Boulevard Al Massira Al Khadra, Benslimane"
22,Belhaj,Wassim,QR89016,"Rue Allal Ben Abdellah, Olm Souissi"
23,Maslouhi,Youssra,ST67038,"Avenue My Rachid, Sidi Kacem"
24,El Alaoui,Reda,UV04528,"Boulevard Mohammed VI, El Kelaa des Sraghna"
25,Berrada,Fadwa,WX87654,"Rue Bahia, Bouznika"
26,Benmoussa,Ahlem,YZ31547,"Avenue Mohamed Zerktouni, Ain Harrouda"
27,Zerouali,Khalid,AB67098,"Rue Oued Massa, Ouarzazate"
28,Bouhmadi,Safaa,CD56212,"Avenue Abdellah Guennoun, Temara"
29,Messoudi,Nabil,EF38475,"Boulevard Brahim Roudani, El Jadida"
30,Bouhal,Samia,GH23919,"Rue Ait Ourir, Berkane"
31,Jamal,Hicham,IJ76345,"Avenue Mohammed Diouri, Nador"
32,El Fegoun,Laila,KL90876,"Rue Abou Bakr El Kadiri, Tanger"
33,Bouji,Khalid,MN43210,"Avenue Boujloud, Khemisset"
34,Hakimi,Amina,OP76543,"Boulevard Al Quds, Dakhla"
35,Saadi,Mohamed,QR89012,"Rue Ibn  Aouf, Errachidia"
36,Fakir,Karima,ST67098,"Avenue Mohamed V, Berkane"
37,Lachgar,Yassine,UV23919,"Boulevard des Forces Armees Royales, Oujda"
38,El Kadiri,Sanaa,WX76345,"Rue Oued Azeroual, Benslimane"
39,Bouchaib,Loubna,YZ90876,"Avenue Hassan II, Skhirat"
40,Tazi,Khalid,AB43210,"Rue El Mansour Eddahbi, Tiznit"
41,Bellahj,Samira,CD76543,"Avenue de l'Entraide, Laayoune"
42,El Fassini,Hicham,EF89012,"Boulevard Ahmed Chaouki, Nador"
43,Oubaha,Nadia,GH67098,"Rue Allal Ben Abdellah, Tanger"
44,Amrani,Selma,IJ23919,"Avenue des Nations Unies, Kenitra"
45,Hassani,Kamal,KL76345,"Rue Mohammed VI, Safi"
46,Marzouki,Imane,MN43210,"Avenue Hassan II, Agadir"
47,El Omari,Ahmed,OP90876,"Boulevard Prince Moulay Abdellah, Laayoune"
48,Berrada,Yasmine,QR43210,"Rue Al Farah, Meknes"
49,Bouziane,Karim,ST67098,"Avenue Moulay Rachid, Tetouan"
50,Benjelloun,Sara,UV23919,"Boulevard Mohammed V, Fes"
