ID_Carte,ID_Client,Numero_carte,Date_expiration,Type_carte,Code_PIN
c6271cc4-7e94-41a4-8975-0a1b584b8772,0a60c6e6-87af-438c-9786-48aa9b57b9b7,2259668434818934,10/31,MasterCard,667
92ebc9d6-5f90-4fc8-a8b6-c7e3273edb5b,098cac88-d545-450d-bcb2-9e14b76a0feb,5257774399666519,09/32,Autre,366
b611c4c8-4bba-4229-80c7-973b3854e472,eb8c7004-292a-4aec-b6fb-5b39286b9997,5508135685791659,02/26,American Express,559
b6e87211-97db-45df-b20b-ce6bdfb024f3,49395053-8a2e-433d-b26b-73e3bb01b4ab,2720260876916789,10/27,Visa,810
4c61ef9d-09c1-4e6e-af0c-4452abd06751,bf103fc7-1e16-4c61-bbb7-e98e5898cc21,2250650299745302,07/29,Autre,039
6e2faafb-be8a-4b51-a537-3d0fedbc6e35,d4bac3cb-1651-49d7-ad43-bd6088469742,2249956515613008,10/31,Autre,495
a1ff4372-8ffe-4007-af41-64fcd77d4ca5,71ce1f55-25f2-44a3-aeef-57a4673f6050,2250694074111389,08/29,MasterCard,372
d02f0978-a183-4108-a4a0-674428ee97c6,9af8417a-302d-4e19-90d7-ac732ec5c7d8,2716155783827994,08/24,Visa,810
228ebdfc-bc95-46c1-8751-2ab3d323ee8f,1c3d42e0-2fa4-44b9-ba30-8c3b497b84f1,5412059313259993,08/26,Visa,180
c68b482b-2b69-4bc2-b3b1-e528bcbcb296,24404c61-31fb-4875-8d74-380e6c2c3d79,5476221654940762,12/24,American Express,595
