id,nom,prenom,email
1,El Amrani,Fatima,f.elamrani@bcp.ma
2,Hassani,Karim,k.hassani@bcp.ma
3,Benslimane,Nadia,n.benslimane@bcp.ma
4,Ait Hkim,Said,s.aitkhim@bcp.ma
5,El Fassi,Fatima Zahra,fz.elfassi@bcp.ma
6,Mahjoub,Younes,y.mahjoub@bcp.ma
7,Benjelloun,Leila,l.benjelloun@bcp.ma
8,Sahli,Ahmed,a.sahli@bcp.ma
9,Laaroussi,Khadija,k.laaroussi@bcp.ma
10,Bouchikhi,Yassine,y.bouchikhi@bcp.ma
11,Tazi,Dounia,d.tazi@bcp.ma
12,Kadiri,Mounia,m.kadiri@bcp.ma
13,Moussaoui,Youssef,y.moussaoui@bcp.ma
14,Ouazzani,Imad,i.ouazzani@bcp.ma
15,Chakir,Zineb,z.chakir@bcp.ma
16,Idrissi,Hakim,h.idrissi@bcp.ma
17,Bennani,Yasmine,y.bennani@bcp.ma
18,El Khattabi,Nawal,n.elkhattabi@bcp.ma
19,Zerouali,Yassir,y.zerouali@bcp.ma
20,Baroudi,Anas,a.baroudi@bcp.ma
21,El Haddioui,Fatima Ezzahra,f.ez.elhaddioui@bcp.ma
22,Rafiq,Ali,a.rafiq@bcp.ma
23,Boukhari,Samira,s.boukhari@bcp.ma
24,Mansouri,Younes,y.mansouri@bcp.ma
25,Benmokhtar,Houda,h.benmokhtar@bcp.ma
26,Faraji,Nabil,n.faraji@bcp.ma
27,El Ghazouani,Abdelaziz,a.elghazouani@bcp.ma
28,Ouadi,Kawtar,k.ouadi@bcp.ma
29,Bellali,Hassan,h.bellali@bcp.ma
30,Sebbar,Nadia,n.sebbar@bcp.ma
31,Nassiri,Ilyas,i.nassiri@bcp.ma
32,Benjelloun,Rita,r.benjelloun@bcp.ma
33,El Kaddouri,Mohamed,m.elkaddouri@bcp.ma
34,Abouzaid,Nawfal,n.abouzaid@bcp.ma
35,Lahrichi,Amal,a.lahrichi@bcp.ma
36,Bannani,Omar,o.bannani@bcp.ma
37,El Azhari,Loubna,l.elazhari@bcp.ma
38,El Makrini,Yassine,y.elmakrini@bcp.ma
39,Aarab,Sara,s.aarab@bcp.ma
40,Ben Abdelkader,Amine,a.benabdelkader@bcp.ma
41,Bensouda,Meryem,m.bensouda@bcp.ma
42,Chaoui,Brahim,b.chaoui@bcp.ma
43,Taouji,Ibtissam,i.taouji@bcp.ma
44,Kahlaoui,Anas,a.kahlaoui@bcp.ma
45,Hamidi,Fatima Zahra,fz.hamidi@bcp.ma
46,Sebbane,Mustapha,m.sebbane@bcp.ma
47,Fakir,Chaimaa,c.fakir@bcp.ma
48,Ksiyer,Hakim,h.ksiyer@bcp.ma
49,Joumani,Salma,s.joumani@bcp.ma
50,Bentaleb,Oumaima,o.bentaleb@bcp.ma
